Prompt;Number of statements;Parameters
"Input text:
Textual context: Traveling 100.0 km implies the vehicle couldn't have used less than 90.0 dm³ of fuel.
With axle 1 load at 4768.0 kg, axle 2 load should exceed 4768.0 kg.
When PTO time is 1.9, idle time is 1.9, and driving time is 2.5, the total time can't be less than 6.2.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['distance', 'total fuel consumption'], ['axle 1 load', 'axle 2 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: Given that PTO-engaged stops are 167, the stops must be at least 167.
With axle 2 supporting 9695.8 kg, the payload must be less than 9695.8 kg.
With axle 3 supporting 6079.4 kg, the payload must be less than 6079.4 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['stops with PTO engaged', 'stops'], ['axle 2 load', 'payload'], ['axle 3 load', 'payload']]
"Input text:
Textual context: When the vehicle's operation time was 2.4 hours, it definitely consumed no less than 14.6 dm³ of fuel.
Given that the vehicle consumed 57.6 dm³ of fuel, it wouldn't have gone further than 67.6 km.
With axle 3 supporting 7206.9 kg, axle 1 must have less than 7206.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['axle 3 load', 'axle 1 load']]
"Input text:
Textual context: Given that PTO time was 3.0 hours, the total operation time couldn't be under 3.0 hours.
When the total operation time was 3.8 hours, idle time couldn't have surpassed 3.8 hours.
With idle time at 4.3 hours, the total operation time couldn't be less than 4.3 hours.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['idle time', 'total operation time']]
"Input text:
Textual context: If axle 1 supports 3768.6 kg, axle 3 must bear more than 3768.6 kg.
If axle 3 is loaded with 7233.5 kg, axle 1 must carry less than 7233.5 kg.
If axle 3 is loaded with 5137.3 kg, the payload must be less than 5137.3 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['axle 1 load', 'axle 3 load'], ['axle 3 load', 'axle 1 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: With 119 stops, it's impossible for PTO-engaged stops to be above 119.
If the load on axle 2 is 10384.8 kg, axle 1 must bear less than 10384.8 kg.
With a payload of 3443.5 kg, axle 3 must have more than 3443.5 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['stops', 'stops with PTO engaged'], ['axle 2 load', 'axle 1 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: Traveling 84.6 km implies the vehicle couldn't have used less than 74.6 dm³ of fuel.
Given an operation time of 8.4 hours, PTO operation time wouldn't be more than 8.4 hours.
If the payload is 9633.8 kg, axle 3 must carry more than 9633.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['distance', 'total fuel consumption'], ['total operation time', 'PTO operation time'], ['payload', 'axle 3 load']]
"Input text:
Textual context: If the vehicle used 27.9 dm³ of fuel, traveling over 37.9 km is impossible.
If the load on axle 2 is 11163.8 kg, the payload must be under 11163.8 kg.
If PTO operation is 1.6, idle time is 1.6, and driving time is 2.2, then the overall time can't be less than 5.4.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total fuel consumption', 'distance'], ['axle 2 load', 'payload'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: Traveling 90.6 km implies the vehicle couldn't have used less than 80.6 dm³ of fuel.
When there are 112 stops, PTO-engaged stops cannot surpass 112.
If PTO time is 0.7, idle time is 0.7, and driving time is 0.9, total operation time must be at least 2.3.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['distance', 'total fuel consumption'], ['stops', 'stops with PTO engaged'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: With a fuel consumption of 76.0 dm³, the vehicle couldn't have run beyond 7.9 hours.
Given axle 3 load is 6395.2 kg, the payload must be below 6395.2 kg.
If PTO time is 0.6, idle time is 0.6, and driving time is 0.8, total operation time must be at least 2.0.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total fuel consumption', 'total operation time'], ['axle 3 load', 'payload'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: With a fuel consumption of 44.7 dm³, the vehicle couldn't have traveled more than 54.7 km.
Idle time of 2.8 hours means the total operation time couldn't be less than 2.8 hours.
With axle 3 supporting 5536.5 kg, axle 1 must have less than 5536.5 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total fuel consumption', 'distance'], ['idle time', 'total operation time'], ['axle 3 load', 'axle 1 load']]
"Input text:
Textual context: If the vehicle operated for 3.6 hours, PTO time couldn't have been greater than 3.6 hours.
With driving time at 3.4 hours, total operation time couldn't be less than 3.4 hours.
If axle 2 is loaded with 10348.4 kg, axle 1 must carry less than 10348.4 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total operation time', 'PTO operation time'], ['driving time', 'total operation time'], ['axle 2 load', 'axle 1 load']]
"Input text:
Textual context: Given 71 stops, PTO-engaged stops cannot be more than 71.
When axle 1 has 5488.4 kg load, axle 2 must be loaded with more than 5488.4 kg.
If PTO time is 2.3, idle time is 2.3, and driving time is 3.1, total operation time must be at least 7.8.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['stops', 'stops with PTO engaged'], ['axle 1 load', 'axle 2 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: Traveling 40.0 km implies the vehicle couldn't have used less than 30.0 dm³ of fuel.
When the total operation time was 9.3 hours, idle time couldn't have surpassed 9.3 hours.
When PTO time is 0.8, idle time is 0.8, and driving time is 1.1, the total time can't be less than 2.7.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['distance', 'total fuel consumption'], ['total operation time', 'idle time'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: With a distance of 59.5 km traveled, it is not feasible the vehicle consumed below 49.5 dm³ of fuel.
If the vehicle's operation time was 5.4 hours, driving time couldn't be more than 5.4 hours.
When the payload is 5169.1 kg, axle 2 needs to be loaded with more than 5169.1 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['distance', 'total fuel consumption'], ['total operation time', 'driving time'], ['payload', 'axle 2 load']]
"Input text:
Textual context: Covering a distance of 107.0 km means the vehicle couldn't have consumed under 97.0 dm³ of fuel.
When axle 2 has 10724.6 kg, the payload needs to be under 10724.6 kg.
If PTO time is 0.8, idle time is 0.8, and driving time is 1.0, total operation time must be at least 2.5.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['distance', 'total fuel consumption'], ['axle 2 load', 'payload'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: When the vehicle used 62.9 dm³ of fuel, it couldn’t have traveled more than 72.9 km.
Operating for 5.9 hours means PTO time couldn't have surpassed 5.9 hours.
If axle 1 supports 5529.9 kg, axle 2 must bear more than 5529.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time'], ['axle 1 load', 'axle 2 load']]
"Input text:
Textual context: If driving time was 4.1 hours, the vehicle's total operation time wouldn't be below 4.1 hours.
If PTO-engaged stops are 237, then the total stops cannot be fewer than 237.
Given axle 3 load is 6881.3 kg, axle 1 load must be below 6881.3 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 3 load', 'axle 1 load']]
"Input text:
Textual context: When the vehicle traveled 76.9 km, it definitely consumed no less than 66.9 dm³ of fuel.
Given that PTO time was 3.7 hours, the total operation time couldn't be under 3.7 hours.
Given a payload of 6412.6 kg, axle 2 load must exceed 6412.6 kg.
When axle 3 has 7204.9 kg, the payload needs to be under 7204.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['distance', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['payload', 'axle 2 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: Given 194 stops, PTO-engaged stops cannot be more than 194.
With a payload of 9527.5 kg, axle 2 must have more than 9527.5 kg.
When axle 2 has 11434.4 kg, the payload needs to be under 11434.4 kg.
If the payload is 6915.3 kg, axle 3 must bear more than 6915.3 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['stops', 'stops with PTO engaged'], ['payload', 'axle 2 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load']]
"Input text:
Textual context: With a total operation time of 8.7 hours, PTO operation time couldn't exceed 8.7 hours.
If idle time was 1.3 hours, the vehicle's total operation time wouldn't be below 1.3 hours.
If the load on axle 3 is 4796.9 kg, axle 1 must bear less than 4796.9 kg.
If axle 2 is loaded with 9204.1 kg, the payload must be less than 9204.1 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['total operation time', 'PTO operation time'], ['idle time', 'total operation time'], ['axle 3 load', 'axle 1 load'], ['axle 2 load', 'payload']]
"Input text:
Textual context: Operating for 6.6 hours means the vehicle couldn't have used less than 62.3 dm³ of fuel.
With a total operation time of 5.9 hours, driving time couldn't exceed 5.9 hours.
If axle 3 is loaded with 7123.3 kg, axle 1 must carry less than 7123.3 kg.
When axle 2 has 7727.1 kg, the payload needs to be under 7727.1 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";4;[['total operation time', 'total fuel consumption'], ['total operation time', 'driving time'], ['axle 3 load', 'axle 1 load'], ['axle 2 load', 'payload']]
